"Adventure [13992].zip","Adventure [13992]","Adventure [13992]","atari2600",
"Enduro [37728].zip","Enduro [37728]","Enduro [37728]","atari2600",
"Keystone Kapers [37772].zip","Keystone Kapers [37772]","Keystone Kapers [37772]","atari2600",
"Montezuma's [14025].zip","Montezuma's [14025]","Montezuma's [14025]","atari2600",
"Pitfall II - Lost Caverns [14005].zip","Pitfall II - Lost Caverns [14005]","Pitfall II - Lost Caverns [14005]","atari2600",
"Frostbite [14047].zip","Frostbite [14047]","Frostbite [14047]","atari2600",
"River Raid [87848].zip","River Raid [87848]","River Raid [87848]","atari2600",
"Seaquest [37835].zip","Seaquest [37835]","Seaquest [37835]","atari2600",
"The Activision Decathlon [14008].zip","The Activision Decathlon [14008]","The Activision Decathlon [14008]","atari2600",
