"A Dinosaur's Tale.Md [1048].md.7z","A DINOSAUR'S TALE [1048].MD","A DINOSAUR'S TALE [1048].MD","megadrive",
"Alien Soldier.Md [36].md.7z","ALIEN SOLDIER [36].MD","ALIEN SOLDIER [36].MD","megadrive",
"Alisia Dragoon.Smd [53].smd.7z","ALISIA DRAGOON [53].SMD","ALISIA DRAGOON [53].SMD","megadrive",
"Castlevania - The New Generation.Bin [40].bin.7z","CASTLEVANIA - THE NEW GENERATION [40].BIN","CASTLEVANIA - THE NEW GENERATION [40].BIN","megadrive",
"Comix Zone.Md [35].md.7z","COMIX ZONE [35].MD","COMIX ZONE [35].MD","megadrive",
"Decapattack.Smd [1046].smd.7z","DECAPATTACK [1046].SMD","DECAPATTACK [1046].SMD","megadrive",
"Elemental Master.Bin [426].bin.7z","ELEMENTAL MASTER [426].BIN","ELEMENTAL MASTER [426].BIN","megadrive",
"Empire Of Steel.Smd [188].smd.7z","EMPIRE OF STEEL [188].SMD","EMPIRE OF STEEL [188].SMD","megadrive",
"Ghostbusters.Smd [85].smd.7z","GHOSTBUSTERS [85].SMD","GHOSTBUSTERS [85].SMD","megadrive",
"Golden Axe Ii.Md [88].md.7z","GOLDEN AXE II [88].MD","GOLDEN AXE II [88].MD","megadrive",
"Golden Axe Iii.Bin [61].bin.7z","GOLDEN AXE III [61].BIN","GOLDEN AXE III [61].BIN","megadrive",
"Golden Axe.Gen [28].gen.7z","GOLDEN AXE [28].GEN","GOLDEN AXE [28].GEN","megadrive",
"Gunstar Heroes [89].7z","GUNSTAR HEROES [89]","GUNSTAR HEROES [89]","megadrive",
"Haunting Starring Polterguy.Md [364].md.7z","HAUNTING STARRING POLTERGUY [364].MD","HAUNTING STARRING POLTERGUY [364].MD","megadrive",
"Jewel Master.Smd [366].smd.7z","JEWEL MASTER [366].SMD","JEWEL MASTER [366].SMD","megadrive",
"Kid Chameleon.Md [38].md.7z","KID CHAMELEON [38].MD","KID CHAMELEON [38].MD","megadrive",
"Mortal Kombat.Gen [12].gen.7z","MORTAL KOMBAT [12].GEN","MORTAL KOMBAT [12].GEN","megadrive",
"Musha - Metallic Uniframe Super Hybrid Armor.Gen [186].gen.7z","MUSHA - METALLIC UNIFRAME SUPER HYBRID ARMOR [186].GEN","MUSHA - METALLIC UNIFRAME SUPER HYBRID ARMOR [186].GEN","megadrive",
"Probotector.Bin [69].bin.7z","PROBOTECTOR [69].BIN","PROBOTECTOR [69].BIN","megadrive",
"Pulseman.Gen [210].gen.7z","PULSEMAN [210].GEN","PULSEMAN [210].GEN","megadrive",
