"Baseball Stars Professional.zip","BASEBALL STARS PROFESSIONAL","BASEBALL STARS PROFESSIONAL","fbneo",
"Baseball Stars.zip","BASEBALL STARS","BASEBALL STARS","fbneo",
"Batman.zip","BATMAN","BATMAN","fbneo",
"Batman2.zip","BATMAN2","BATMAN2","fbneo",
"Batmanfr.zip","BATMANFR","BATMANFR","fbneo",
"Battle Circuit.zip","BATTLE CIRCUIT","BATTLE CIRCUIT","fbneo",
"Battle Flip Shot.zip","BATTLE FLIP SHOT","BATTLE FLIP SHOT","fbneo",
"Bayroute.zip","BAYROUTE","BAYROUTE","fbneo",
"Bbbxing.zip","BBBXING","BBBXING","fbneo",
"Bchopper.zip","BCHOPPER","BCHOPPER","fbneo",
"Bctvidbs.zip","BCTVIDBS","BCTVIDBS","fbneo",
"Berabohm.zip","BERABOHM","BERABOHM","fbneo",
"Berlwall.zip","BERLWALL","BERLWALL","fbneo",
"Berzerk.zip","BERZERK","BERZERK","fbneo",
"Berzerk1.zip","BERZERK1","BERZERK1","fbneo",
"Bigkarnk.zip","BIGKARNK","BIGKARNK","fbneo",
"Bigstrik.zip","BIGSTRIK","BIGSTRIK","fbneo",
"Biomtoy.zip","BIOMTOY","BIOMTOY","fbneo",
"Bionicc2.zip","BIONICC2","BIONICC2","fbneo",
"Bioship.zip","BIOSHIP","BIOSHIP","fbneo",
"Blandia.zip","BLANDIA","BLANDIA","fbneo",
"Blaster.zip","BLASTER","BLASTER","fbneo",
"Blazing Star.zip","BLAZING STAR","BLAZING STAR","fbneo",
"Bldyror2.zip","BLDYROR2","BLDYROR2","fbneo",
"Blitz2k.zip","BLITZ2K","BLITZ2K","fbneo",
"Blkdrgon.zip","BLACK DRAGON (JAPAN)","BLACK DRAGON (JAPAN)","fbneo",
"Blktiger.zip","BLACK TIGER","BLACK TIGER","fbneo",
"Blockade.zip","BLOCKADE","BLOCKADE","fbneo",
"Blockout.zip","BLOCKOUT","BLOCKOUT","fbneo",
"Bloodbro.zip","BLOODBRO","BLOODBRO","fbneo",
"Bloodstm.zip","BLOODSTM","BLOODSTM","fbneo",
"Bloxeed.zip","BLOXEED","BLOXEED","fbneo",
"Blstroid.zip","BLSTROID","BLSTROID","fbneo",
"Bluehawk.zip","BLUEHAWK","BLUEHAWK","fbneo",
"Blueprnt.zip","BLUE PRINT (MIDWAY)","BLUE PRINT (MIDWAY)","fbneo",
"Blue's Journey.zip","BLUE'S JOURNEY","BLUE'S JOURNEY","fbneo",
"Bmaster.zip","BMASTER","BMASTER","fbneo",
"Bnj.zip","BUMP 'N' JUMP","BUMP 'N' JUMP","fbneo",
"Bnzabros.zip","BNZABROS","BNZABROS","fbneo",
"Boblbobl.zip","BOBBLE BOBBLE (BOOTLEG OF BUBBLE BOBBLE)","BOBBLE BOBBLE (BOOTLEG OF BUBBLE BOBBLE)","fbneo",
"Bodyslam.zip","BODYSLAM","BODYSLAM","fbneo",
"Bogeyman.zip","BOGEYMAN","BOGEYMAN","fbneo",
"Bomberman - Panic Bomber.zip","BOMBERMAN - PANIC BOMBER","BOMBERMAN - PANIC BOMBER","fbneo",
"Bombjack.zip","BOMB JACK (SET 1)","BOMB JACK (SET 1)","fbneo",
"Bonzeadv.zip","BONZEADV","BONZEADV","fbneo",
"Boogwing.zip","BOOGWING","BOOGWING","fbneo",
"Bootcamp.zip","BOOTCAMP","BOOTCAMP","fbneo",
"Boothill.zip","BOOTHILL","BOOTHILL","fbneo",
"Bosco.zip","BOSCO","BOSCO","fbneo",
"Bosconm.zip","BOSCONM","BOSCONM","fbneo",
"Bottom9.zip","BOTTOM9","BOTTOM9","fbneo",
"Bouldash.zip","BOULDASH","BOULDASH","fbneo",
"Breaker's (2).zip","BREAKER'S (2)","BREAKER'S (2)","fbneo",
"Brkthru.zip","BRKTHRU","BRKTHRU","fbneo",
"Brkthrub.zip","BRKTHRUB","BRKTHRUB","fbneo",
"Brubber.zip","BURNIN' RUBBER","BURNIN' RUBBER","fbneo",
"Brutforc.zip","BRUTFORC","BRUTFORC","fbneo",
"Bsktball.zip","BSKTBALL","BSKTBALL","fbneo",
"Bssoccer.zip","BSSOCCER","BSSOCCER","fbneo",
"Btime.zip","BURGER TIME (DATA EAST SET 1)","BURGER TIME (DATA EAST SET 1)","fbneo",
"Btimea.zip","BTIMEA","BTIMEA","fbneo",
"Btoads.zip","BATTLETOADS","BATTLETOADS","fbneo",
"Bubbles.zip","BUBBLES","BUBBLES","fbneo",
"Bubblesr.zip","BUBBLES (SOLID RED LABEL)","BUBBLES (SOLID RED LABEL)","fbneo",
"Bublbobl (2).zip","BUBLBOBL (2)","BUBLBOBL (2)","fbneo",
"Bublbobl.zip","BUBBLE BOBBLE (JAPAN, VER 0.1)","BUBBLE BOBBLE (JAPAN, VER 0.1)","fbneo",
"Bubsymph.zip","BUBSYMPH","BUBSYMPH","fbneo",
"Buckrog.zip","BUCK ROGERS PLANET OF ZOOM","BUCK ROGERS PLANET OF ZOOM","fbneo",
"Bucky.zip","BUCKY O'HARE (VER EAB)","BUCKY O'HARE (VER EAB)","fbneo",
"Burnforc.zip","BURNING FORCE (JAPAN, NEW VERSION (REV C))","BURNING FORCE (JAPAN, NEW VERSION (REV C))","fbneo",
"Burning Fight.zip","BURNING FIGHT","BURNING FIGHT","fbneo",
