path;name;Adult;Date;arcadesystemname;hidden;core;description;developer;emulator;famille;favorite;gameidSS;gametime;genre;genreid;hash;kid;lang;lastplayed;md5;mode;playcount;players;publisher;rating;ratio;region;rotation;sortname;tags;temporary;bezel;boxback;boxart;cartridge;extra1;fanart;image;magazine;manual;maps;marquee;mix;roundwheel;screenshot;titleshot;thumbnail;video;wheel;roundwheel
./Batman2.Suposto-Mame.zip;BATMAN2.SUPOSTO-MAME;false;;;false;;;;;;false;;0;;0;0D216BD3;false;;;d7412b3885c13ff37d4f399b0b0e49d6;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Bctvidbs.Suposto-Mame.zip;BCTVIDBS.SUPOSTO-MAME;false;;;false;;;;;;false;60926;0;VARIADOS / SISTEMA, VARIADOS;0;4FFCE055;false;;;5c4e07b9dedce435379ad35c56c18bb2;;0;;;;;wor;;;;;;;;;;;;;;;;;;./media/screenshots/Bctvidbs.Suposto-Mame-screenshot.png;;;;;
./Biomtoy.Suposto-Mame.zip;BIOMTOY.SUPOSTO-MAME;false;;;false;;;;;;false;;0;;0;2FD5A30E;false;;;28ba08864fb35fdf70aca79b126d386c;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Bioship.Suposto-Mame.zip;BIOSHIP.SUPOSTO-MAME;false;;;false;;;;;;false;;0;;0;991D4A78;false;;;0f5f0e32ca17e632fc15c4ff2a51d2e7;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Bldyror2.Suposto-Mame.zip;BLDYROR2.SUPOSTO-MAME;false;;;false;;;;;;false;;0;;0;FA22954E;false;;;45c257bc3575296fcdc8aab40805e22a;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Bloodstm.Suposto-Mame.zip;BLOODSTM.SUPOSTO-MAME;false;;;false;;;;;;false;;0;;0;763B2469;false;;;20211ce71b78f04db0031c0c2d928e29;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Bluehawk.Suposto-Mame.zip;BLUEHAWK.SUPOSTO-MAME;false;;;false;;;;;;false;;0;;0;D1AF02B7;false;;;5ef25bab4f03743db05c051606d74058;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Boogwing.Suposto-Mame.zip;BOOGWING.SUPOSTO-MAME;false;;;false;;;;;;false;;0;;0;4A8E1900;false;;;30cdf6a53171fb01d63ca4ca9a13f44d;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Bssoccer.Suposto-Mame.zip;BSSOCCER.SUPOSTO-MAME;false;;;false;;;;;;false;;0;;0;14651276;false;;;fec09e08c838d4580f7f30127a5f60e4;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Bzone.Mame.ZIP;BZONE.MAME;false;;;false;;;;;;false;;0;;0;2D90E468;false;;;7d74b02605adacc0280cc4a54dd2f83b;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
